City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,lanzhou,36.0564,103.7922,2.25,32,19,1.09,CN,1675396677
232,srandakan,-7.9386,110.2506,27.95,71,96,2.01,ID,1675396774
233,artyshta,54.1222,86.2909,-13.47,92,68,0.45,RU,1675396774
234,rio grande,-32.035,-52.0986,22.79,87,100,4.04,BR,1675396774
235,muravlenko,63.7898,74.523,-11.95,95,72,3.93,RU,1675396775
236,saldanha,-33.0117,17.9442,13.03,89,0,5.39,ZA,1675396775
237,yenagoa,4.9247,6.2642,25.18,88,0,1.47,NG,1675396776
238,mount pleasant,32.7941,-79.8626,10.0,97,100,4.12,US,1675396544
239,sakaiminato,35.55,133.2333,5.96,75,75,0.51,JP,1675396577
240,raudeberg,61.9875,5.1352,2.7,71,100,5.29,NO,1675396776
241,adrar,20.5022,-10.0711,12.16,19,74,5.26,MR,1675396777
242,matagami,49.7502,-77.6328,-31.94,68,75,5.14,CA,1675396777
243,santa isabel do rio negro,-0.4139,-65.0192,23.34,93,100,1.03,BR,1675396777
244,asau,46.4333,26.4,-1.49,94,99,1.73,RO,1675396778
245,wenling,28.3669,121.36,9.31,70,97,4.11,CN,1675396778
246,mayo,38.8876,-76.5119,3.96,83,75,2.06,US,1675396778
247,homer,59.6425,-151.5483,0.94,86,100,0.0,US,1675396779
248,sur,22.5667,59.5289,20.55,60,0,0.99,OM,1675396779
249,turukhansk,65.8167,87.9833,-17.4,97,97,2.83,RU,1675396779
250,vesoul,47.5833,5.8333,3.45,83,100,2.4,FR,1675396780
251,yamethin,20.4333,96.15,28.74,36,92,0.99,MM,1675396780
252,taoudenni,22.6783,-3.9836,11.61,16,96,5.07,ML,1675396780
253,berlevag,70.8578,29.0864,-5.03,86,20,6.69,NO,1675396781
254,colesberg,-30.72,25.0972,17.42,70,27,5.4,ZA,1675396781
255,nesna,66.1967,13.0213,-4.07,85,45,8.09,NO,1675396781
256,kamenka,51.3223,42.7678,-6.07,95,78,2.69,RU,1675396782
257,santa cecilia,-26.9608,-50.4269,17.68,100,100,0.91,BR,1675396782
258,sungaipenuh,-2.0833,101.3833,26.43,46,91,2.22,ID,1675396490
259,ati,13.2154,18.3353,19.02,18,4,4.63,TD,1675396783
260,tilichiki,60.4667,166.1,-19.47,93,35,4.28,RU,1675396783
261,broken hill,-31.95,141.4333,20.54,28,38,9.73,AU,1675396784
262,geraldton,-28.7667,114.6,40.23,11,3,10.29,AU,1675396784
263,novyy urengoy,66.0833,76.6333,-14.42,95,90,3.21,RU,1675396588
264,hailar,49.2,119.7,-18.85,92,64,1.78,CN,1675396785
265,sibolga,1.7427,98.7792,28.98,65,88,1.65,ID,1675396785
266,kutum,14.2,24.6667,11.99,26,3,2.61,SD,1675396785
267,vargashi,55.3556,65.8467,-18.54,96,99,1.32,RU,1675396786
268,okhotsk,59.3833,143.3,-18.89,86,89,5.49,RU,1675396786
269,yeppoon,-23.1333,150.7333,34.88,50,80,1.87,AU,1675396786
270,araouane,18.9048,-3.5265,12.84,19,80,6.19,ML,1675396787
271,boca do acre,-8.7522,-67.3978,22.01,99,97,0.78,BR,1675396787
272,huarmey,-10.0681,-78.1522,22.18,82,98,3.15,PE,1675396787
273,airai,-8.9266,125.4092,18.5,90,100,1.63,TL,1675396788
274,chumikan,54.7183,135.315,-21.63,81,74,8.58,RU,1675396788
275,togur,58.3631,82.8265,-14.27,95,100,0.49,RU,1675396789
276,atar,20.5169,-13.0499,17.19,15,99,6.32,MR,1675396789
277,iqaluit,63.7506,-68.5145,-39.15,67,20,1.54,CA,1675396789
278,severo-kurilsk,50.6789,156.125,-1.42,86,100,12.25,RU,1675396790
279,simao,22.7886,100.9748,17.43,56,100,1.83,CN,1675396790
280,cozumel,20.5083,-86.9458,25.04,83,75,2.06,MX,1675396503
281,kununurra,-15.7667,128.7333,35.99,38,20,1.54,AU,1675396791
282,cururupu,-1.8283,-44.8683,22.58,98,97,0.62,BR,1675396791
283,olden,61.8364,6.8064,0.41,84,100,3.29,NO,1675396791
284,montague,42.5356,-72.5351,0.1,58,3,0.45,US,1675396792
285,tete,-16.1564,33.5867,23.05,100,40,0.0,MZ,1675396792
286,fairbanks,64.8378,-147.7164,-13.84,83,100,1.54,US,1675396500
287,nouadhibou,20.931,-17.0347,17.99,42,100,4.63,MR,1675396793
288,kendari,-3.945,122.4989,25.45,86,100,1.32,ID,1675396793
289,tasiilaq,65.6145,-37.6368,-4.87,85,100,11.77,GL,1675396793
290,ramotswa,-24.8716,25.8699,19.79,79,91,0.91,BW,1675396794
291,telemaco borba,-24.3239,-50.6156,18.54,100,99,1.15,BR,1675396794
292,lagoa,39.05,-27.9833,14.88,86,8,11.01,PT,1675396795
293,carballo,43.213,-8.691,5.68,77,0,1.48,ES,1675396795
294,hilo,19.7297,-155.09,26.27,77,40,5.66,US,1675396705
295,saint-jean-port-joli,47.2171,-70.2658,-2.62,82,100,11.15,CA,1675396796
296,embonas,36.2269,27.8564,7.07,68,100,1.5,GR,1675396796
297,dicabisagan,17.0818,122.4157,26.35,75,51,3.1,PH,1675396797
298,mount isa,-20.7333,139.5,30.87,27,77,6.17,AU,1675396797
299,bongandanga,1.5,21.05,19.81,82,42,0.45,CD,1675396798
300,tutubigan,11.8397,125.0614,26.55,84,59,3.81,PH,1675396798
301,marawi,7.9986,124.2928,26.37,63,100,3.63,PH,1675396799
